2022-05-19 16:46:30.750  INFO [authorizationService,645400ce2f8f25e1,78dbcfc8a4a0a32d] 20200 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:46:30.753  INFO [authorizationService,645400ce2f8f25e1,78dbcfc8a4a0a32d] 20200 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:46:30.755  INFO [authorizationService,645400ce2f8f25e1,78dbcfc8a4a0a32d] 20200 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:46:30.778  INFO [authorizationService,645400ce2f8f25e1,c49e732eb76e78d4] 20200 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:46:30.779  INFO [authorizationService,645400ce2f8f25e1,c49e732eb76e78d4] 20200 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:46:30.780  INFO [authorizationService,645400ce2f8f25e1,c49e732eb76e78d4] 20200 --- [http-nio-9090-exec-6] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:46:30.781  INFO [authorizationService,645400ce2f8f25e1,c49e732eb76e78d4] 20200 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:46:30.782  INFO [authorizationService,645400ce2f8f25e1,c49e732eb76e78d4] 20200 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:46:30.784  INFO [authorizationService,645400ce2f8f25e1,c49e732eb76e78d4] 20200 --- [http-nio-9090-exec-6] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:47:01.385  INFO [authorizationService,5f6df04e9781710a,50630ab2797ae818] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:47:01.388  INFO [authorizationService,5f6df04e9781710a,50630ab2797ae818] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:47:01.392  INFO [authorizationService,5f6df04e9781710a,50630ab2797ae818] 20200 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:47:01.394  INFO [authorizationService,5f6df04e9781710a,50630ab2797ae818] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:47:01.395  INFO [authorizationService,5f6df04e9781710a,50630ab2797ae818] 20200 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:47:01.398  INFO [authorizationService,5f6df04e9781710a,50630ab2797ae818] 20200 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:47:01.425  INFO [authorizationService,5f6df04e9781710a,e39bb97d858d153c] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:47:01.427  INFO [authorizationService,5f6df04e9781710a,e39bb97d858d153c] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:47:01.429  INFO [authorizationService,5f6df04e9781710a,e39bb97d858d153c] 20200 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:47:01.431  INFO [authorizationService,5f6df04e9781710a,e39bb97d858d153c] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:47:01.433  INFO [authorizationService,5f6df04e9781710a,e39bb97d858d153c] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:47:01.436  INFO [authorizationService,5f6df04e9781710a,e39bb97d858d153c] 20200 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:53:39.530  INFO [authorizationService,e528c0aa61201bc2,0ff541d2ffc59393] 20200 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-19 16:53:39.532  INFO [authorizationService,e528c0aa61201bc2,0ff541d2ffc59393] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:53:39.534  INFO [authorizationService,e528c0aa61201bc2,0ff541d2ffc59393] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:53:39.536  INFO [authorizationService,e528c0aa61201bc2,0ff541d2ffc59393] 20200 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - generateToken
